"fecha","total_desempleo"
2024-10-01,1567775
2024-07-01,1842085
2024-04-01,1626449
2024-01-01,1542215
2023-10-01,1639021
2023-07-01,1825196
2023-04-01,1694442
2023-01-01,1597182
2022-10-01,1796103
2022-07-01,2040030
2022-04-01,1917742
2022-01-01,2006191
2021-10-01,2150582
2021-07-01,2471216
2021-04-01,2425506
2021-01-01,2411863
2020-10-01,2529369
2020-07-01,2761078
2020-01-01,1956517
2019-10-01,1932597
2019-07-01,2127668
2019-04-01,1997895
2019-01-01,1863594
2018-10-01,1813522
2018-07-01,1907532
2018-04-01,1834230
2018-01-01,1683631
2017-10-01,1809658
2017-07-01,1905789
2017-04-01,1848286
2017-01-01,1795510
2016-10-01,1881990
2016-07-01,2145512
2016-04-01,2069571
2016-01-01,2112148
2015-10-01,2203551
2015-07-01,2404478
2015-04-01,2252239
2015-01-01,2168178
2014-10-01,2250882
2014-07-01,2699998
2014-04-01,2499511
2014-01-01,2443010
2013-10-01,2388252
2013-07-01,2683554
2013-04-01,2559478
2013-01-01,2454027
2012-10-01,2456827
2012-07-01,2608598
2012-04-01,2437097
2012-01-01,2426676
2011-10-01,2424585
2011-07-01,2734954
2011-04-01,2549143
2011-01-01,2462764
2010-10-01,2523823
2010-07-01,2694395
2010-04-01,2501640
2010-01-01,2503613
2009-10-01,2518112
2009-07-01,2947287
2009-04-01,2384320
2009-01-01,2309209
2008-10-01,1924693
2008-07-01,1902210
2008-04-01,1584043
2008-01-01,1772176
2007-10-01,1594805
2007-07-01,1729897
2007-04-01,1489721
2007-01-01,1755167
2006-10-01,1605212
2006-07-01,1774900
2006-04-01,1370261
2006-01-01,1530073
2005-10-01,1381816
2005-07-01,1665306
2005-04-01,1503565
2005-01-01,1658771
