fecha,variacion_mensual,variacion_acumulada,variacion_anual,subyacente_mensual,subyacente_acumulada,subyacente_anual,no_subyacente_mensual,no_subyacente_acumulada,no_subyacente_anual
01/01/1969,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1969,0.36,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/03/1969,0.1,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/04/1969,0.27,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/05/1969,0,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/06/1969,0.36,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/07/1969,0.38,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/08/1969,0.11,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/09/1969,0.94,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/10/1969,1.05,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/11/1969,0.01,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/12/1969,0.75,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/01/1970,0.76,0.76,5.2,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1970,-0.01,0.75,4.81,N/E,N/E,N/E,N/E,N/E,N/E
01/03/1970,0.29,1.04,5.01,N/E,N/E,N/E,N/E,N/E,N/E
01/04/1970,0.13,1.17,4.87,N/E,N/E,N/E,N/E,N/E,N/E
01/05/1970,0.21,1.39,5.09,N/E,N/E,N/E,N/E,N/E,N/E
01/06/1970,0.61,2,5.35,N/E,N/E,N/E,N/E,N/E,N/E
01/07/1970,0.49,2.5,5.46,N/E,N/E,N/E,N/E,N/E,N/E
01/08/1970,0.46,2.98,5.84,N/E,N/E,N/E,N/E,N/E,N/E
01/09/1970,0.24,3.22,5.11,N/E,N/E,N/E,N/E,N/E,N/E
01/10/1970,0.03,3.26,4.05,N/E,N/E,N/E,N/E,N/E,N/E
01/11/1970,0.54,3.82,4.6,N/E,N/E,N/E,N/E,N/E,N/E
01/12/1970,0.85,4.69,4.69,N/E,N/E,N/E,N/E,N/E,N/E
01/01/1971,0.99,0.99,4.93,N/E,N/E,N/E,N/E,N/E,N/E
01/02/1971,0.41,1.4,5.38,N/E,N/E,N/E,N/E,N/E,N/E
01/03/1971,0.38,1.79,5.47,N/E,N/E,N/E,N/E,N/E,N/E
01/04/1971,0.51,2.31,5.87,N/E,N/E,N/E,N/E,N/E,N/E
01/05/1971,0.21,2.53,5.87,N/E,N/E,N/E,N/E,N/E,N/E
01/06/1971,0.45,2.99,5.71,N/E,N/E,N/E,N/E,N/E,N/E
01/07/1971,-0.08,2.91,5.11,N/E,N/E,N/E,N/E,N/E,N/E
01/08/1971,0.91,3.85,5.58,N/E,N/E,N/E,N/E,N/E,N/E
01/09/1971,0.33,4.19,5.67,N/E,N/E,N/E,N/E,N/E,N/E
01/10/1971,0.1,4.29,5.74,N/E,N/E,N/E,N/E,N/E,N/E
